,junction,strand,label_5_prime,label_3_prime,position_off_5_prime,position_off_3_prime,transcripts,annotation
28,chr10:110000286-110000735,-,unannotated on 5',unannotated on 3',,,[],none
29,chr10:110015239-110015863,+,unannotated on 5',unannotated on 3',,,[],none
30,chr10:110015447-110015863,+,unannotated on 5',unannotated on 3',,,[],none
31,chr10:110015655-110015863,+,unannotated on 5',unannotated on 3',,,[],none
32,chr10:110961137-110967683,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000218895.1', 'ENSMUST00000220247.1', 'ENSMUST00000217698.1', 'ENSMUST00000099285.3', 'ENSMUST00000041723.14']",both sides
33,chr10:110962404-110967683,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000218895.1', 'ENSMUST00000220247.1', 'ENSMUST00000217698.1', 'ENSMUST00000099285.3', 'ENSMUST00000041723.14']",both sides
34,chr10:110967805-110968428,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000219307.1', 'ENSMUST00000220247.1', 'ENSMUST00000217698.1', 'ENSMUST00000099285.3', 'ENSMUST00000041723.14']",both sides
35,chr10:110967846-110968428,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000219307.1', 'ENSMUST00000218895.1', 'ENSMUST00000220247.1', 'ENSMUST00000217698.1', 'ENSMUST00000099285.3', 'ENSMUST00000041723.14']",both sides
36,chr10:111190621-111190718,-,unannotated on 5',unannotated on 3',,,[],none
37,chr10:111190621-111190782,-,unannotated on 5',unannotated on 3',,,[],none
38,chr10:111190621-111190798,-,unannotated on 5',unannotated on 3',,,[],none
39,chr10:111190621-111190814,-,unannotated on 5',unannotated on 3',,,[],none
40,chr10:111190621-111190878,-,unannotated on 5',unannotated on 3',,,[],none
41,chr10:111190621-111190894,-,unannotated on 5',unannotated on 3',,,[],none
42,chr10:111190621-111190910,-,unannotated on 5',unannotated on 3',,,[],none
43,chr10:111190621-111190926,-,unannotated on 5',unannotated on 3',,,[],none
44,chr10:111190621-111191006,-,unannotated on 5',unannotated on 3',,,[],none
45,chr10:111190621-111191022,-,unannotated on 5',unannotated on 3',,,[],none
46,chr10:111190750-111191102,-,unannotated on 5',unannotated on 3',,,[],none
47,chr10:111204840-111224671,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000105275.8', 'ENSMUST00000095310.2', 'ENSMUST00000220139.1']",both sides
48,chr10:111204840-111233552,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000105275.8', 'ENSMUST00000095310.2', 'ENSMUST00000220139.1']",both sides
49,chr10:111224708-111233552,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000105275.8', 'ENSMUST00000220139.1']",both sides
50,chr10:111608707-111610526,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000219137.1'],one side
51,chr10:111608707-111610994,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000219137.1'],both sides
52,chr10:111610773-111610994,+,unannotated on 5',annotated on 3',,1.0,[],one side
53,chr10:111997251-111998160,-,unannotated on 5',annotated on 3',,0.0,['ENSMUST00000162508.8'],one side
54,chr10:111997251-112002499,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000162508.8', 'ENSMUST00000159550.1']",both sides
55,chr10:111998251-112002499,-,annotated on 5',unannotated on 3',1.0,,"['ENSMUST00000162508.8', 'ENSMUST00000159550.1']",one side
56,chr10:11235112-11414559,-,unannotated on 5',unannotated on 3',,,[],none
57,chr10:11382591-11414559,-,unannotated on 5',unannotated on 3',,,[],none
58,chr10:115220408-115221582,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000217843.1', 'ENSMUST00000020339.9']",both sides
59,chr10:115220738-115221582,-,annotated on 5',unannotated on 3',1.0,,"['ENSMUST00000217843.1', 'ENSMUST00000020339.9']",one side
60,chr10:115359767-115361808,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000217884.1', 'ENSMUST00000218731.1', 'ENSMUST00000220336.1', 'ENSMUST00000218009.1', 'ENSMUST00000092170.6', 'ENSMUST00000217848.1', 'ENSMUST00000217887.1', 'ENSMUST00000219890.1']",both sides
61,chr10:115359767-115361906,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000217884.1', 'ENSMUST00000218731.1', 'ENSMUST00000220336.1', 'ENSMUST00000218009.1', 'ENSMUST00000092170.6', 'ENSMUST00000217848.1', 'ENSMUST00000217887.1', 'ENSMUST00000219890.1']",both sides
62,chr10:115361847-115361959,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000217884.1', 'ENSMUST00000219890.1']",both sides
63,chr10:115361847-115362386,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000220336.1', 'ENSMUST00000217884.1', 'ENSMUST00000219890.1']",both sides
64,chr10:115361959-115362051,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000220336.1', 'ENSMUST00000218731.1', 'ENSMUST00000092170.6']",both sides
65,chr10:115361959-115362064,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000220336.1', 'ENSMUST00000218731.1', 'ENSMUST00000092170.6']",both sides
66,chr10:115361959-115362386,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000220336.1', 'ENSMUST00000217884.1', 'ENSMUST00000218731.1', 'ENSMUST00000092170.6']",both sides
67,chr10:115362226-115362386,-,annotated on 5',unannotated on 3',1.0,,"['ENSMUST00000220336.1', 'ENSMUST00000217884.1']",one side
68,chr10:115372946-115376351,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000020346.5', 'ENSMUST00000218842.1']",both sides
69,chr10:115372946-115384204,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000020346.5', 'ENSMUST00000218842.1']",both sides
70,chr10:115376547-115384204,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000020346.5', 'ENSMUST00000218842.1']",both sides
71,chr10:115383886-115384204,-,annotated on 5',unannotated on 3',1.0,,"['ENSMUST00000020346.5', 'ENSMUST00000218842.1']",one side
72,chr10:115555793-115817516,+,unannotated on 5',unannotated on 3',,,[],none
73,chr10:115817350-115817492,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000179196.2'],both sides
74,chr10:115817386-115817492,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000080630.10'],both sides
75,chr10:116162610-116177717,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000105271.8', 'ENSMUST00000063470.10']",both sides
76,chr10:116177600-116177717,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000155606.7'],both sides
77,chr10:116177828-116178664,+,annotated on 5',unannotated on 3',0.0,,"['ENSMUST00000128399.1', 'ENSMUST00000148731.7', 'ENSMUST00000155606.7', 'ENSMUST00000105271.8', 'ENSMUST00000063470.10']",one side
78,chr10:116177828-116188199,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000128399.1', 'ENSMUST00000148731.7', 'ENSMUST00000155606.7', 'ENSMUST00000105271.8', 'ENSMUST00000063470.10']",both sides
79,chr10:116283877-116302107,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000218553.1', 'ENSMUST00000217925.1']",both sides
80,chr10:116301679-116302107,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000092167.6'],both sides
81,chr10:116501317-116504034,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000171214.7', 'ENSMUST00000167706.7', 'ENSMUST00000169937.7', 'ENSMUST00000164383.7', 'ENSMUST00000166166.7', 'ENSMUST00000164088.7', 'ENSMUST00000105267.7', 'ENSMUST00000105265.7']",both sides
82,chr10:116501317-116517316,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000165527.7', 'ENSMUST00000171214.7', 'ENSMUST00000167706.7', 'ENSMUST00000169937.7', 'ENSMUST00000164383.7', 'ENSMUST00000166166.7', 'ENSMUST00000169507.7', 'ENSMUST00000218490.1', 'ENSMUST00000020374.5', 'ENSMUST00000164088.7', 'ENSMUST00000167644.1', 'ENSMUST00000105267.7', 'ENSMUST00000105265.7']",both sides
83,chr10:116504114-116506228,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000167706.7', 'ENSMUST00000164383.7', 'ENSMUST00000169507.7', 'ENSMUST00000164088.7', 'ENSMUST00000105267.7', 'ENSMUST00000105265.7']",both sides
84,chr10:116506411-116507040,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000171944.7', 'ENSMUST00000167706.7', 'ENSMUST00000164383.7', 'ENSMUST00000169507.7', 'ENSMUST00000218490.1', 'ENSMUST00000164088.7', 'ENSMUST00000105267.7', 'ENSMUST00000105265.7']",both sides
85,chr10:116507188-116517316,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000171944.7', 'ENSMUST00000165527.7', 'ENSMUST00000171214.7', 'ENSMUST00000167706.7', 'ENSMUST00000169937.7', 'ENSMUST00000164383.7', 'ENSMUST00000166166.7', 'ENSMUST00000169507.7', 'ENSMUST00000218490.1', 'ENSMUST00000020374.5', 'ENSMUST00000164088.7', 'ENSMUST00000167644.1', 'ENSMUST00000105267.7', 'ENSMUST00000105265.7']",both sides
86,chr10:116517383-116527826,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000218744.1', 'ENSMUST00000171944.7', 'ENSMUST00000171214.7', 'ENSMUST00000167706.7', 'ENSMUST00000169937.7', 'ENSMUST00000164383.7', 'ENSMUST00000166166.7', 'ENSMUST00000169507.7', 'ENSMUST00000218490.1', 'ENSMUST00000020374.5', 'ENSMUST00000164088.7', 'ENSMUST00000167644.1', 'ENSMUST00000105267.7', 'ENSMUST00000165527.7']",both sides
87,chr10:116517383-116549032,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000218744.1', 'ENSMUST00000165527.7', 'ENSMUST00000171214.7', 'ENSMUST00000167706.7', 'ENSMUST00000169937.7', 'ENSMUST00000164383.7', 'ENSMUST00000166166.7', 'ENSMUST00000169507.7', 'ENSMUST00000218490.1', 'ENSMUST00000020374.5', 'ENSMUST00000164088.7', 'ENSMUST00000167644.1', 'ENSMUST00000105267.7', 'ENSMUST00000105265.7']",both sides
88,chr10:116527949-116537220,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000218744.1', 'ENSMUST00000171944.7', 'ENSMUST00000167644.1', 'ENSMUST00000169937.7', 'ENSMUST00000167706.7', 'ENSMUST00000164383.7', 'ENSMUST00000166166.7', 'ENSMUST00000169507.7', 'ENSMUST00000218490.1', 'ENSMUST00000020374.5', 'ENSMUST00000105267.7', 'ENSMUST00000165527.7']",both sides
89,chr10:116527949-116549032,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000218744.1', 'ENSMUST00000171944.7', 'ENSMUST00000165527.7', 'ENSMUST00000171214.7', 'ENSMUST00000167706.7', 'ENSMUST00000169937.7', 'ENSMUST00000164383.7', 'ENSMUST00000166166.7', 'ENSMUST00000169507.7', 'ENSMUST00000218490.1', 'ENSMUST00000020374.5', 'ENSMUST00000164088.7', 'ENSMUST00000167644.1', 'ENSMUST00000105267.7', 'ENSMUST00000105265.7']",both sides
90,chr10:116537278-116549032,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000218744.1', 'ENSMUST00000165527.7', 'ENSMUST00000171214.7', 'ENSMUST00000167706.7', 'ENSMUST00000169937.7', 'ENSMUST00000164383.7', 'ENSMUST00000169507.7', 'ENSMUST00000218490.1', 'ENSMUST00000020374.5', 'ENSMUST00000167644.1', 'ENSMUST00000164088.7', 'ENSMUST00000105267.7', 'ENSMUST00000105265.7']",both sides
91,chr10:116549105-116581452,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000218744.1', 'ENSMUST00000171944.7', 'ENSMUST00000165527.7', 'ENSMUST00000171214.7', 'ENSMUST00000167706.7', 'ENSMUST00000169937.7', 'ENSMUST00000164383.7', 'ENSMUST00000166166.7', 'ENSMUST00000169507.7', 'ENSMUST00000020374.5', 'ENSMUST00000167644.1', 'ENSMUST00000105267.7', 'ENSMUST00000105265.7']",both sides
92,chr10:116549175-116581452,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000169921.7', 'ENSMUST00000169576.7', 'ENSMUST00000168036.7', 'ENSMUST00000171944.7', 'ENSMUST00000165527.7', 'ENSMUST00000171214.7', 'ENSMUST00000167706.7', 'ENSMUST00000169937.7', 'ENSMUST00000164383.7', 'ENSMUST00000166166.7', 'ENSMUST00000169507.7', 'ENSMUST00000218490.1', 'ENSMUST00000020374.5', 'ENSMUST00000167644.1', 'ENSMUST00000105267.7', 'ENSMUST00000105265.7']",both sides
93,chr10:116581722-116582985,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000219273.1'],both sides
94,chr10:116582129-116582985,+,unannotated on 5',annotated on 3',,1.0,[],one side
95,chr10:116919651-116928188,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000219109.1', 'ENSMUST00000020375.6']",both sides
96,chr10:116919651-116937396,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000219109.1', 'ENSMUST00000020375.6']",both sides
97,chr10:116928284-116937396,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000219109.1', 'ENSMUST00000020375.6']",both sides
98,chr10:116939476-116950259,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000219109.1', 'ENSMUST00000020375.6', 'ENSMUST00000218391.1']",both sides
99,chr10:116939481-116950259,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000219109.1', 'ENSMUST00000020375.6', 'ENSMUST00000218391.1', 'ENSMUST00000219603.1']",both sides
100,chr10:116950692-116954512,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000220251.1', 'ENSMUST00000217853.1']",both sides
101,chr10:116950692-116955527,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000220251.1', 'ENSMUST00000217853.1']",both sides
102,chr10:116950777-116955527,+,unannotated on 5',annotated on 3',,1.0,[],one side
103,chr10:116954725-116955527,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000217853.1'],both sides
104,chr10:116955657-116957095,+,annotated on 5',unannotated on 3',0.0,,"['ENSMUST00000220251.1', 'ENSMUST00000217853.1', 'ENSMUST00000220066.1']",one side
105,chr10:116955657-116962029,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000220251.1', 'ENSMUST00000217853.1', 'ENSMUST00000220066.1']",both sides
106,chr10:117081113-117085031,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000020381.4', 'ENSMUST00000219483.1', 'ENSMUST00000218868.1']",both sides
107,chr10:117084599-117085031,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000020381.4', 'ENSMUST00000219483.1', 'ENSMUST00000218868.1']",both sides
108,chr10:117277467-117287929,+,unannotated on 5',unannotated on 3',,,[],none
109,chr10:117277470-117278101,-,unannotated on 5',unannotated on 3',,,[],none
110,chr10:117277495-117278655,-,unannotated on 5',unannotated on 3',,,[],none
111,chr10:117277503-117278143,-,unannotated on 5',unannotated on 3',,,[],none
112,chr10:117277514-117278674,-,unannotated on 5',unannotated on 3',,,[],none
113,chr10:117277524-117287984,+,unannotated on 5',unannotated on 3',,,[],none
114,chr10:117277532-117277934,-,unannotated on 5',unannotated on 3',,,[],none
115,chr10:117277588-117278080,-,unannotated on 5',unannotated on 3',,,[],none
116,chr10:117277598-117282205,+,unannotated on 5',unannotated on 3',,,[],none
117,chr10:117277605-117288066,+,unannotated on 5',unannotated on 3',,,[],none
118,chr10:117277617-117288079,+,unannotated on 5',unannotated on 3',,,[],none
119,chr10:117277656-117278068,-,unannotated on 5',unannotated on 3',,,[],none
120,chr10:117277667-117278028,-,unannotated on 5',unannotated on 3',,,[],none
121,chr10:117277676-117288137,-,unannotated on 5',unannotated on 3',,,[],none
122,chr10:117277713-117278144,-,unannotated on 5',unannotated on 3',,,[],none
123,chr10:117277766-117288358,-,unannotated on 5',unannotated on 3',,,[],none
124,chr10:117277807-117288269,+,unannotated on 5',unannotated on 3',,,[],none
125,chr10:117277869-117288331,-,unannotated on 5',unannotated on 3',,,[],none
126,chr10:117277949-117288412,-,unannotated on 5',unannotated on 3',,,[],none
127,chr10:117277990-117282218,+,unannotated on 5',unannotated on 3',,,[],none
128,chr10:117278050-117288511,+,unannotated on 5',unannotated on 3',,,[],none
129,chr10:117278055-117288517,-,unannotated on 5',unannotated on 3',,,[],none
130,chr10:117278181-117656550,+,unannotated on 5',unannotated on 3',,,[],none
131,chr10:117278187-117278642,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000092163.8'],both sides
132,chr10:117278675-117289150,-,unannotated on 5',unannotated on 3',,,[],none
133,chr10:117278677-117280694,-,unannotated on 5',unannotated on 3',,,[],none
134,chr10:117278677-117291082,-,unannotated on 5',unannotated on 3',,,[],none
135,chr10:117278721-117280640,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000092163.8'],both sides
136,chr10:117280755-117291144,+,unannotated on 5',unannotated on 3',,,[],none
137,chr10:117280805-117282106,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000092163.8'],both sides
138,chr10:117282136-117292732,-,unannotated on 5',unannotated on 3',,,[],none
139,chr10:117282185-117292781,-,unannotated on 5',unannotated on 3',,,[],none
140,chr10:117282263-117617262,-,unannotated on 5',unannotated on 3',,,[],none
141,chr10:117282266-117617262,-,unannotated on 5',unannotated on 3',,,[],none
142,chr10:117288649-117289118,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000092162.6'],both sides
143,chr10:117289197-117291028,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000092162.6'],both sides
144,chr10:117291168-117617262,-,unannotated on 5',unannotated on 3',,,[],none
145,chr10:117291193-117292702,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000092162.6'],both sides
146,chr10:117349467-117355934,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176480.7', 'ENSMUST00000176686.7', 'ENSMUST00000176670.7', 'ENSMUST00000175888.1', 'ENSMUST00000069168.12']",both sides
147,chr10:117356124-117358992,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176480.7', 'ENSMUST00000176686.7', 'ENSMUST00000176670.7', 'ENSMUST00000069168.12', 'ENSMUST00000177145.7']",both sides
148,chr10:117356127-117358992,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176480.7', 'ENSMUST00000176686.7', 'ENSMUST00000176670.7', 'ENSMUST00000069168.12', 'ENSMUST00000177145.7']",both sides
149,chr10:117359146-117360439,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176480.7', 'ENSMUST00000176686.7', 'ENSMUST00000176670.7', 'ENSMUST00000176567.1', 'ENSMUST00000069168.12', 'ENSMUST00000177145.7']",both sides
150,chr10:117360555-117360855,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176480.7', 'ENSMUST00000176686.7', 'ENSMUST00000176670.7', 'ENSMUST00000176567.1', 'ENSMUST00000069168.12', 'ENSMUST00000177145.7']",both sides
151,chr10:117361360-117361773,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000069168.12', 'ENSMUST00000177145.7', 'ENSMUST00000176670.7', 'ENSMUST00000176686.7']",both sides
152,chr10:117361360-117362013,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000069168.12', 'ENSMUST00000177145.7', 'ENSMUST00000176670.7', 'ENSMUST00000176686.7']",both sides
153,chr10:117361884-117362013,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000069168.12', 'ENSMUST00000177145.7', 'ENSMUST00000176670.7', 'ENSMUST00000176686.7']",both sides
154,chr10:117362187-117362974,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000069168.12', 'ENSMUST00000177145.7', 'ENSMUST00000176670.7', 'ENSMUST00000176686.7']",both sides
155,chr10:117363120-117366080,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000069168.12', 'ENSMUST00000177145.7', 'ENSMUST00000176670.7', 'ENSMUST00000176686.7']",both sides
156,chr10:117366184-117367778,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176686.7', 'ENSMUST00000176670.7', 'ENSMUST00000175924.1', 'ENSMUST00000069168.12', 'ENSMUST00000177145.7']",both sides
157,chr10:117367988-117376838,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176686.7', 'ENSMUST00000176670.7', 'ENSMUST00000175924.1', 'ENSMUST00000069168.12', 'ENSMUST00000177145.7']",both sides
158,chr10:117376930-117567493,-,unannotated on 5',annotated on 3',,-1.0,['ENSMUST00000176670.7'],one side
159,chr10:117410194-117413725,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000220040.1'],both sides
160,chr10:117629527-117629720,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000020399.5', 'ENSMUST00000123374.7']",both sides
161,chr10:117629883-117634870,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000020399.5', 'ENSMUST00000123374.7', 'ENSMUST00000138020.7']",both sides
162,chr10:117629883-117659767,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000020399.5', 'ENSMUST00000123374.7', 'ENSMUST00000138020.7']",both sides
