STAR version=2.7.10b
STAR compilation time,server,dir=2022-11-01T09:53:26-04:00 :/home/dobin/data/STAR/STARcode/STAR.master/source
STAR git: On branch master ; commit c6f8efc2c7043ef83bf8b0d9bed36bbb6b9b1133 ; diff files: CHANGES.md 
##### Command Line:
star --runThreadN 4 --runMode genomeGenerate --genomeDir /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star --genomeFastaFiles /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa --sjdbGTFfile /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/gencode.vM34.basic.annotation.gtf
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    4     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star     ~RE-DEFINED
genomeFastaFiles              /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa        ~RE-DEFINED
sjdbGTFfile                   /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/gencode.vM34.basic.annotation.gtf     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 14  "chr15" chrStart: 2015100928
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 15  "chr16" chrStart: 2119434240
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 16  "chr17" chrStart: 2217476096
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 17  "chr18" chrStart: 2312896512
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 18  "chr19" chrStart: 2403860480
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 19  "chrX" chrStart: 2465464320
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 20  "chrY" chrStart: 2635071488
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 21  "chrM" chrStart: 2726559744
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 22  "GL456210.1" chrStart: 2726821888
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 23  "GL456211.1" chrStart: 2727084032
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 24  "GL456212.1" chrStart: 2727346176
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 25  "GL456219.1" chrStart: 2727608320
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 26  "GL456221.1" chrStart: 2727870464
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 27  "GL456233.2" chrStart: 2728132608
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 28  "GL456239.1" chrStart: 2728919040
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 29  "GL456354.1" chrStart: 2729181184
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 30  "GL456359.1" chrStart: 2729443328
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 31  "GL456360.1" chrStart: 2729705472
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 32  "GL456366.1" chrStart: 2729967616
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 33  "GL456367.1" chrStart: 2730229760
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 34  "GL456368.1" chrStart: 2730491904
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 35  "GL456370.1" chrStart: 2730754048
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 36  "GL456372.1" chrStart: 2731016192
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 37  "GL456378.1" chrStart: 2731278336
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 38  "GL456379.1" chrStart: 2731540480
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 39  "GL456381.1" chrStart: 2731802624
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 40  "GL456382.1" chrStart: 2732064768
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 41  "GL456383.1" chrStart: 2732326912
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 42  "GL456385.1" chrStart: 2732589056
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 43  "GL456387.1" chrStart: 2732851200
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 44  "GL456389.1" chrStart: 2733113344
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 45  "GL456390.1" chrStart: 2733375488
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 46  "GL456392.1" chrStart: 2733637632
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 47  "GL456394.1" chrStart: 2733899776
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 48  "GL456396.1" chrStart: 2734161920
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 49  "JH584295.1" chrStart: 2734424064
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 50  "JH584296.1" chrStart: 2734686208
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 51  "JH584297.1" chrStart: 2734948352
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 52  "JH584298.1" chrStart: 2735210496
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 53  "JH584299.1" chrStart: 2735472640
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 54  "JH584300.1" chrStart: 2736521216
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 55  "JH584301.1" chrStart: 2736783360
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 56  "JH584302.1" chrStart: 2737045504
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 57  "JH584303.1" chrStart: 2737307648
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 58  "JH584304.1" chrStart: 2737569792
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 59  "MU069434.1" chrStart: 2737831936
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 60  "MU069435.1" chrStart: 2738094080
Chromosome sequence lengths: 
chr1	195154279
chr2	181755017
chr3	159745316
chr4	156860686
chr5	151758149
chr6	149588044
chr7	144995196
chr8	130127694
chr9	124359700
chr10	130530862
chr11	121973369
chr12	120092757
chr13	120883175
chr14	125139656
chr15	104073951
chr16	98008968
chr17	95294699
chr18	90720763
chr19	61420004
chrX	169476592
chrY	91455967
chrM	16299
GL456210.1	169725
GL456211.1	241735
GL456212.1	153618
GL456219.1	175968
GL456221.1	206961
GL456233.2	559103
GL456239.1	40056
GL456354.1	195993
GL456359.1	22974
GL456360.1	31704
GL456366.1	47073
GL456367.1	42057
GL456368.1	20208
GL456370.1	26764
GL456372.1	28664
GL456378.1	31602
GL456379.1	72385
GL456381.1	25871
GL456382.1	23158
GL456383.1	38659
GL456385.1	35240
GL456387.1	24685
GL456389.1	28772
GL456390.1	24668
GL456392.1	23629
GL456394.1	24323
GL456396.1	21240
JH584295.1	1976
JH584296.1	199368
JH584297.1	205776
JH584298.1	184189
JH584299.1	953012
JH584300.1	182347
JH584301.1	259875
JH584302.1	155838
JH584303.1	158099
JH584304.1	114452
MU069434.1	8412
MU069435.1	31129
Genome sequence total length = 2728222451
Genome size with padding = 2738356224
May 12 21:43:53 ..... processing annotations GTF
Processing pGe.sjdbGTFfile=/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/gencode.vM34.basic.annotation.gtf, found:
		84170 transcripts
		531135 exons (non-collapsed)
		244578 collapsed junctions
Total junctions: 244578
May 12 21:43:58 ..... finished GTF processing

Estimated genome size with padding and SJs: total=genome+SJ=2939356224 = 2738356224 + 201000000
GstrandBit=32
Number of SA indices: 5309243566
May 12 21:44:09 ... starting to sort Suffix Array. This may take a long time...
Number of chunks: 12;   chunks size limit: 3828493096 bytes
May 12 21:44:20 ... sorting Suffix Array chunks and saving them to disk...
Writing 3615423032 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_0 ; empty space on disk = 4267080895430656 bytes ... done
Writing 3632612232 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_2 ; empty space on disk = 4267063967219712 bytes ... done
Writing 3791983040 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_1 ; empty space on disk = 4267060158791680 bytes ... done
Writing 3713271616 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_3 ; empty space on disk = 4267056199368704 bytes ... done
Writing 3779367392 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_4 ; empty space on disk = 4267083730780160 bytes ... done
Writing 3664484416 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_6 ; empty space on disk = 4267076231364608 bytes ... done
Writing 3756952944 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_7 ; empty space on disk = 4267068413181952 bytes ... done
Writing 3753485832 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_5 ; empty space on disk = 4267064604753920 bytes ... done
Writing 1664063280 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_11 ; empty space on disk = 4267032325390336 bytes ... done
Writing 3685218112 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_8 ; empty space on disk = 4267004324216832 bytes ... done
Writing 3677556904 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_9 ; empty space on disk = 4267000582897664 bytes ...Writing 3739529728 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA_10 ; empty space on disk = 4266998368305152 bytes ... done
 done
May 12 22:04:17 ... loading chunks from disk, packing SA...
May 12 22:05:03 ... finished generating suffix array
May 12 22:05:03 ... generating Suffix Array index
May 12 22:08:07 ... completed Suffix Array index
WARNING: long repeat for junction # 71788 : chr5 123328298 123329023; left shift = 255; right shift = 19
WARNING: long repeat for junction # 79541 : chr6 48731569 48732130; left shift = 81; right shift = 255
WARNING: long repeat for junction # 106492 : chr7 141361933 141364041; left shift = 255; right shift = 255
WARNING: long repeat for junction # 173403 : chr13 36192501 36373186; left shift = 255; right shift = 29
WARNING: long repeat for junction # 194149 : chr15 75976552 75988902; left shift = 0; right shift = 255
May 12 22:08:07   Finished preparing junctions
May 12 22:08:07 ..... inserting junctions into the genome indices
May 12 22:09:20   Finished SA search: number of new junctions=244561, old junctions=0
May 12 22:09:58   Finished sorting SA indicesL nInd=97824358
Genome size with junctions=2787512985  2738356224   49156761
GstrandBit1=32   GstrandBit=32
May 12 22:10:55   Finished inserting junction indices
May 12 22:11:13   Finished SAi
May 12 22:11:13 ..... finished inserting junctions into genome
May 12 22:11:13 ... writing Genome to disk ...
Writing 2787512985 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//Genome ; empty space on disk = 4266971877081088 bytes ... done
SA size in bytes: 22304155190
May 12 22:11:13 ... writing Suffix Array to disk ...
Writing 22304155190 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SA ; empty space on disk = 4266969075286016 bytes ... done
May 12 22:11:21 ... writing SAindex to disk
Writing 8 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SAindex ; empty space on disk = 4266943355813888 bytes ... done
Writing 120 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SAindex ; empty space on disk = 4266943355813888 bytes ... done
Writing 1565873491 bytes into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star//SAindex ; empty space on disk = 4266943355813888 bytes ... done
May 12 22:11:21 ..... finished successfully
DONE: Genome generation, EXITING
